capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,ONEPhysicality/GameThread/RegionalDamage_ms,ONEPhysicality/GameThread/BloodFixedStep_ms,ONEPhysicality/GameThread/StumpCollisionTransfer_ms,ONEPhysicality/GameThread/RagdollInitialize_ms,PhysicsVerbose/AllWorkers/StepSolver_Gather_ms,Chaos/AllWorkers/ApplyConstraints_ms,PhysicsVerbose/AllWorkers/StepSolver_Scatter_ms,ONEPhysicality/GameThread/RagdollRest_ms,ONEPhysicality/GameThread/PartInitialize_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native,ONEPhysicality/Live_native,ONEPhysicality/RigidBodies_native,ONEPhysicality/Awake_native,ONEPhysicality/Wounds_native,ONEPhysicality/Phase_native,ONEPhysicality/Droplets_native,ONEPhysicality/Pools_native,ONEPhysicality/ProjectionTraces_native
3884,32.36739650000002,0,8.3743,1.7257,1.2525,1.2328,0.181,0.0034,0.0048,0.0004,0.0339,0.0463,0.0151,0.0028,0.0257,0.0002,0.0045,0.0026,0.0005,0.0001,0.0112,0.0019,0.0006,0.0,0.0018,0.1121,0.0197,0.0001,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3885,32.37577080000002,0,8.2766,1.8712,1.3433,1.2801,0.169,0.0044,0.0036,0.0004,0.0362,0.0478,0.0155,0.0064,0.0301,0.0002,0.0033,0.0023,0.0004,0.0001,0.0096,0.0017,0.0004,0.0,0.0013,0.1121,0.016,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3886,32.38404740000002,0,8.3671,1.8228,1.2633,1.2687,0.1582,0.0037,0.0055,0.0003,0.0299,0.0421,0.0181,0.0024,0.027,0.0001,0.0033,0.0017,0.001,0.0001,0.0102,0.0015,0.0005,0.0,0.0016,0.1042,0.0121,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3887,32.39241450000002,0,8.2985,1.8107,1.2613,1.3253,0.1861,0.0042,0.0062,0.0003,0.0303,0.0437,0.0219,0.0045,0.0359,0.0003,0.0039,0.0019,0.001,0.0002,0.0103,0.002,0.0005,0.0001,0.0018,0.1229,0.0171,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3888,32.400713000000025,0,8.3751,1.9319,1.2927,1.2141,0.1955,0.0067,0.0057,0.0003,0.0408,0.0568,0.0223,0.003,0.0331,0.0002,0.0039,0.0017,0.0005,0.0003,0.0115,0.0019,0.0006,0.0,0.0018,0.1303,0.0171,0.0001,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3889,32.40908810000003,0,8.3227,1.9193,1.2738,1.2317,0.1666,0.005,0.0059,0.0002,0.0329,0.047,0.0196,0.0028,0.0306,0.0002,0.0032,0.0016,0.0004,0.0002,0.0104,0.0016,0.0006,0.0,0.0017,0.1118,0.0114,0.0001,0.0013,0.0,0.0264,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,3.0,9.0,4.0
3890,32.41741080000003,0,8.3974,2.0719,1.3316,1.3202,0.1971,0.0048,0.0049,0.0004,0.0356,0.0488,0.0228,0.0032,0.0346,0.0002,0.0041,0.002,0.0005,0.0001,0.0117,0.0019,0.0006,0.0002,0.002,0.1261,0.02,0.0001,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3891,32.42580820000003,0,8.2817,1.8239,1.3391,1.4276,0.1688,0.0035,0.0045,0.0003,0.0338,0.0449,0.0192,0.0051,0.0306,0.0002,0.0034,0.0022,0.0004,0.0002,0.0098,0.0016,0.001,0.0,0.0015,0.1116,0.015,0.0001,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3892,32.434089900000025,0,8.4113,2.0895,1.3535,1.3192,0.1829,0.0045,0.0063,0.0003,0.027,0.0414,0.0223,0.003,0.0339,0.0002,0.0042,0.002,0.0008,0.0001,0.012,0.002,0.0004,0.0001,0.0015,0.1171,0.016,0.0002,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3893,32.442501200000024,0,8.2617,1.8518,1.3347,1.1732,0.214,0.005,0.0045,0.0002,0.0438,0.0564,0.0316,0.0033,0.0448,0.0002,0.0042,0.0017,0.0005,0.0001,0.0116,0.0024,0.0005,0.0001,0.0017,0.1437,0.0179,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3894,32.45076290000002,0,8.3107,1.9325,1.303,1.331,0.1943,0.0053,0.0047,0.0003,0.0382,0.0515,0.0251,0.0054,0.0395,0.0002,0.0039,0.0022,0.0005,0.0002,0.0104,0.0018,0.0006,0.0001,0.0014,0.1291,0.0184,0.0001,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3895,32.459073600000025,0,8.5471,1.8324,1.3976,1.2484,0.1729,0.0031,0.0039,0.0002,0.031,0.0416,0.0259,0.0033,0.036,0.0002,0.0039,0.0017,0.0004,0.0002,0.011,0.0019,0.0006,0.0,0.0015,0.1152,0.014,0.0001,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3896,32.467620700000026,0,8.3022,2.0019,1.4816,1.3569,0.2033,0.0052,0.005,0.0003,0.0419,0.0551,0.0218,0.0029,0.033,0.0003,0.0043,0.0026,0.0005,0.0001,0.0115,0.002,0.0004,0.0001,0.0019,0.1309,0.0189,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3897,32.47592290000003,0,8.4136,2.0464,1.5496,1.4591,0.2032,0.004,0.006,0.0003,0.04,0.0533,0.0268,0.0032,0.0378,0.0002,0.0042,0.0021,0.0007,0.0001,0.0133,0.0018,0.0006,0.0001,0.002,0.134,0.0163,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3898,32.484336500000026,0,8.1397,2.0381,1.3894,1.3074,0.194,0.0035,0.0062,0.0003,0.0387,0.0527,0.0227,0.0062,0.0361,0.0002,0.0047,0.0019,0.0005,0.0001,0.0112,0.002,0.0006,0.0006,0.0019,0.1302,0.0153,0.0001,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3899,32.49247620000003,0,8.2581,1.8792,1.3055,1.3573,0.1758,0.0033,0.0063,0.0003,0.0361,0.0492,0.0206,0.0029,0.0302,0.0003,0.0035,0.0017,0.0006,0.0002,0.0104,0.0021,0.0005,0.0002,0.0017,0.1163,0.0144,0.0002,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3900,32.500734300000026,0,8.2878,1.6666,1.2333,1.2194,0.2041,0.0019,0.0046,0.0003,0.0278,0.0376,0.0229,0.0035,0.0345,0.0002,0.0032,0.0019,0.0005,0.0001,0.0086,0.0016,0.0005,0.0001,0.0021,0.14,0.0198,0.0001,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,11.0,63.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
3901,32.509022100000024,0,8.9735,1.9639,1.8277,1.1946,0.1921,0.0038,0.0047,0.0004,0.045,0.0565,0.0216,0.0032,0.0332,0.0002,0.0037,0.0017,0.0006,0.0001,0.0108,0.0017,0.0006,0.0001,0.0018,0.1287,0.0171,0.0,0.0044,0.4649,0.035,0.0029,0.2869,0.0,0.0,0.0,0.0021,0.0,0.0,77.0,3.0,11.0,63.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,4.0,9.0,3.0
3902,32.51799560000003,0,8.223,1.9179,1.7203,1.3972,0.5584,0.0087,0.0063,0.0003,0.0498,0.0694,0.0299,0.0337,0.0767,0.0002,0.0128,0.0061,0.0006,0.0003,0.0146,0.1082,0.0008,0.0001,0.0063,0.3255,0.0283,0.0,0.0029,0.0,0.0,0.0,0.0,0.0236,0.0262,0.0053,0.0,0.0,1.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0,0.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,14.0,35.0,4.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3903,32.52621860000003,0,8.1402,1.9026,1.5737,1.4471,0.3999,0.0077,0.0045,0.0003,0.0547,0.0706,0.0368,0.0256,0.0757,0.0002,0.007,0.0034,0.0009,0.0001,0.0165,0.1023,0.0008,0.0001,0.0056,0.3076,0.0293,0.0,0.0024,0.0,0.0,0.0,0.0,0.0252,0.0311,0.006,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0,0.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,14.0,35.0,4.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3904,32.53435880000003,0,8.3515,1.9194,1.551,1.5905,0.3792,0.0065,0.0047,0.0004,0.0433,0.0576,0.0351,0.028,0.0759,0.0001,0.007,0.0032,0.0006,0.0001,0.0156,0.1026,0.0007,0.0001,0.006,0.2944,0.0224,0.0002,0.0035,0.0,0.0,0.0,0.0,0.0226,0.028,0.0056,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0,0.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,14.0,35.0,4.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3905,32.54271030000003,0,8.3418,1.9668,1.6386,1.1787,0.4188,0.0062,0.0075,0.0002,0.0503,0.0678,0.0382,0.0309,0.0863,0.0005,0.0075,0.0032,0.0007,0.0002,0.0187,0.1102,0.0007,0.0002,0.0057,0.3295,0.0299,0.0002,0.0033,0.0,0.0,0.0,0.0,0.0245,0.0308,0.0053,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0,0.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,14.0,35.0,4.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3906,32.55105210000003,0,8.4277,1.9274,1.6482,1.3496,0.414,0.0078,0.0054,0.0004,0.0541,0.0714,0.0369,0.0362,0.0901,0.0002,0.0084,0.0041,0.0006,0.0002,0.0174,0.1048,0.0007,0.0001,0.0054,0.3262,0.0287,0.0001,0.0042,0.0,0.0,0.0,0.0,0.0277,0.0311,0.0056,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0,0.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,14.0,35.0,4.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3907,32.55947980000003,0,8.1523,1.9749,1.5371,1.3078,0.3718,0.0075,0.0039,0.0002,0.0452,0.0599,0.0304,0.0295,0.0746,0.0001,0.0066,0.0031,0.0007,0.0002,0.0158,0.0985,0.0006,0.0002,0.0053,0.2889,0.0285,0.0002,0.0028,0.0,0.0,0.0,0.0,0.0228,0.0283,0.0047,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0,0.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,14.0,35.0,4.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3908,32.567632100000026,0,8.4513,1.7713,1.5627,1.1763,0.4248,0.0064,0.0044,0.0004,0.0473,0.0618,0.0396,0.0351,0.0883,0.0003,0.0079,0.0043,0.0008,0.0002,0.0198,0.108,0.0009,0.0002,0.006,0.3226,0.0351,0.0,0.0036,0.0,0.0,0.0,0.0,0.0219,0.0275,0.0061,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0,2.0,2.0,8.0,6.0,8.0,0.0,0.0,0.0,14.0,35.0,4.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3909,32.57608340000002,0,8.6234,1.9385,1.7927,1.3409,0.4435,0.0062,0.0046,0.0004,0.0502,0.0653,0.0363,0.0329,0.0826,0.0002,0.0092,0.0039,0.0007,0.0002,0.0218,0.1113,0.0008,0.0001,0.0075,0.3354,0.0341,0.0001,0.0033,0.0,0.0,0.0,0.0,0.0256,0.0316,0.0059,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0,2.0,2.0,8.0,6.0,8.0,0.0,0.0,0.0,14.0,35.0,4.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3910,32.58470680000002,0,8.266,1.9808,1.9617,1.4203,0.4436,0.0064,0.0059,0.0002,0.0488,0.0658,0.037,0.0247,0.0785,0.0003,0.0097,0.004,0.0012,0.0002,0.0235,0.1288,0.0008,0.0,0.0067,0.3511,0.025,0.0001,0.0032,0.0,0.0,0.0,0.0,0.0267,0.0301,0.0055,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0,2.0,2.0,8.0,6.0,8.0,0.0,0.0,0.0,14.0,35.0,4.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3911,32.59297280000002,0,8.207,2.1786,1.7006,1.4069,0.4125,0.0062,0.0047,0.0003,0.0459,0.0612,0.0327,0.0259,0.0731,0.0003,0.0088,0.0042,0.0007,0.0002,0.0194,0.1086,0.0008,0.0001,0.0069,0.3166,0.0246,0.0001,0.0031,0.0,0.0,0.0,0.0,0.0234,0.0283,0.0048,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0,2.0,2.0,8.0,6.0,8.0,0.0,0.0,0.0,14.0,35.0,4.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3912,32.60117980000002,0,8.2237,1.8854,1.6735,1.3858,0.4177,0.0053,0.0063,0.0003,0.0474,0.0631,0.0365,0.035,0.0904,0.0002,0.009,0.0058,0.0006,0.0002,0.0192,0.1042,0.0008,0.0001,0.0062,0.3279,0.0265,0.0,0.0024,0.0,0.0,0.0,0.0,0.0222,0.0293,0.006,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,3.0,14.0,0.0,3.0,2.0,2.0,10.0,6.0,8.0,0.0,0.0,0.0,14.0,37.0,5.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3913,32.60940350000002,0,8.4548,1.9721,1.6881,1.2878,0.4409,0.0106,0.0072,0.0008,0.0502,0.0728,0.0376,0.0241,0.0798,0.0001,0.0081,0.0045,0.0007,0.0003,0.0201,0.1125,0.0007,0.0001,0.0066,0.34,0.0315,0.0001,0.0029,0.0,0.0284,0.0,0.0,0.0252,0.0315,0.0061,0.0088,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,3.0,14.0,0.0,3.0,2.0,2.0,10.0,2.0,8.0,0.0,0.0,0.0,14.0,39.0,6.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,4.0,9.0,4.0
3914,32.61785830000002,0,8.2504,2.2765,1.6939,1.4688,0.4279,0.0076,0.0042,0.0004,0.0562,0.0725,0.0445,0.0325,0.0931,0.0002,0.0081,0.0036,0.0008,0.0001,0.019,0.1093,0.001,0.0002,0.006,0.3376,0.0261,0.0001,0.0029,0.0,0.0,0.0,0.0,0.0231,0.028,0.0054,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,3.0,14.0,0.0,3.0,2.0,2.0,10.0,2.0,8.0,0.0,0.0,0.0,14.0,39.0,6.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3915,32.626108700000024,0,8.5026,1.956,1.7296,1.4127,0.4428,0.0045,0.0047,0.0005,0.0651,0.0789,0.0452,0.0327,0.0955,0.0002,0.0089,0.004,0.0015,0.0002,0.0187,0.1028,0.001,0.0001,0.0068,0.3452,0.0282,0.0002,0.0041,0.0,0.0,0.0,0.0,0.0249,0.028,0.0049,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,3.0,14.0,0.0,3.0,2.0,2.0,10.0,2.0,8.0,0.0,0.0,0.0,14.0,41.0,7.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3916,32.634611300000024,0,8.2482,1.909,1.7188,1.9739,0.4001,0.0063,0.0075,0.0009,0.0426,0.0607,0.0367,0.0333,0.0864,0.0003,0.0088,0.0033,0.0011,0.0002,0.0181,0.101,0.0006,0.0,0.0053,0.3122,0.0259,0.0,0.0024,0.0,0.0,0.0,0.0,0.0237,0.0291,0.0049,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,3.0,14.0,0.0,3.0,2.0,2.0,10.0,2.0,8.0,0.0,0.0,0.0,14.0,41.0,7.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3917,32.64285950000002,0,8.3516,2.128,1.7703,1.5322,0.4228,0.0077,0.0049,0.0003,0.0544,0.0711,0.0392,0.0333,0.0906,0.0001,0.0068,0.0034,0.0006,0.0001,0.0172,0.096,0.0008,0.0,0.0065,0.3247,0.0263,0.0001,0.0029,0.0,0.0,0.0,0.0,0.0227,0.0304,0.005,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,3.0,14.0,0.0,3.0,2.0,2.0,10.0,2.0,8.0,0.0,0.0,0.0,14.0,41.0,7.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3918,32.65121110000002,0,8.3705,1.8628,1.7827,1.3234,0.4151,0.0066,0.0054,0.0006,0.0496,0.066,0.0383,0.0345,0.0894,0.0003,0.0072,0.0036,0.0006,0.0002,0.0154,0.1107,0.0007,0.0001,0.0058,0.3276,0.0254,0.0001,0.0032,0.0,0.0,0.0,0.0,0.0254,0.0315,0.0062,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,3.0,14.0,0.0,3.0,2.0,2.0,10.0,2.0,8.0,0.0,0.0,0.0,14.0,41.0,7.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3919,32.65958160000002,0,8.2122,1.9583,1.7293,1.3438,0.431,0.0059,0.0045,0.0003,0.0481,0.0625,0.0416,0.0352,0.0943,0.0002,0.0081,0.0039,0.0008,0.0001,0.0185,0.117,0.0007,0.0001,0.0057,0.3387,0.0275,0.0001,0.0035,0.0,0.0,0.0,0.0,0.0253,0.0317,0.0069,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,3.0,14.0,0.0,3.0,2.0,2.0,10.0,2.0,8.0,0.0,0.0,0.0,14.0,43.0,8.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
3920,32.66779380000002,0,8.4814,2.1926,1.6614,1.2757,0.3951,0.0053,0.0042,0.0003,0.0471,0.06,0.0377,0.0344,0.0881,0.0002,0.0076,0.004,0.0008,0.0001,0.0183,0.0978,0.0007,0.0003,0.0054,0.3085,0.0271,0.0001,0.0035,0.0,0.0,0.0,0.0,0.0219,0.0274,0.0061,0.0,0.0,0.0,89.0,16.0,10.0,63.0,21.0,0.0,2.0,1.0,3.0,14.0,0.0,3.0,2.0,2.0,10.0,2.0,8.0,0.0,0.0,0.0,14.0,43.0,8.0,8.0,2.0,1.0,0.0,16.0,13.0,3.0,3.0,0.0,0.0,0.0
